D:\Desktop\Data\IMG\center_2020_03_18_17_00_01_745.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_01_745.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_01_745.jpg,0,0,0,13.96264
D:\Desktop\Data\IMG\center_2020_03_18_17_00_01_811.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_01_811.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_01_811.jpg,0,0,0,14.13289
D:\Desktop\Data\IMG\center_2020_03_18_17_00_01_883.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_01_883.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_01_883.jpg,0,0,0,14.00408
D:\Desktop\Data\IMG\center_2020_03_18_17_00_01_952.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_01_952.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_01_952.jpg,0,0,0,13.70759
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_023.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_023.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_023.jpg,0,0,0,13.55956
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_096.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_096.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_096.jpg,0,0,0,13.71969
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_166.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_166.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_166.jpg,0,0,0,13.59929
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_232.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_232.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_232.jpg,0,0,0,13.26073
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_305.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_305.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_305.jpg,-0.15,0,0,13.06284
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_372.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_372.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_372.jpg,-0.3,0,0,13.24073
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_441.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_441.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_441.jpg,0,0,0,13.13846
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_508.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_508.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_508.jpg,0,0,0,12.76369
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_581.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_581.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_581.jpg,0,0.0827469,0,12.71111
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_650.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_650.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_650.jpg,0,0.2656008,0,13.01475
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_718.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_718.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_718.jpg,0,0.4493638,0,13.07765
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_790.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_790.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_790.jpg,0,0.6885938,0,13.33915
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_860.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_860.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_860.jpg,-0.2,0.9204996,0,14.18074
D:\Desktop\Data\IMG\center_2020_03_18_17_00_02_933.jpg,D:\Desktop\Data\IMG\left_2020_03_18_17_00_02_933.jpg,D:\Desktop\Data\IMG\right_2020_03_18_17_00_02_933.jpg,-0.35,1,0,14.91085
